,Ticker,close,date,high,low,month,open,volume
285,DRREDDY,1095.71,2023-10-10 05:30:00,1097.4,1085.6,2023-10,1096.8,1519630
286,SUNPHARMA,1126.5,2023-10-10 05:30:00,1130.4,1119.8,2023-10,1122.0,1092093
287,KOTAKBANK,1756.1,2023-10-10 05:30:00,1768.7,1720.6,2023-10,1727.5,3368982
288,SHRIRAMFIN,1892.85,2023-10-10 05:30:00,1896.75,1815.2,2023-10,1840.0,1675512
289,NESTLEIND,2296.81,2023-10-10 05:30:00,2301.7,2282.53,2023-10,2296.0,396630
290,ONGC,183.5,2023-10-10 05:30:00,184.5,182.05,2023-10,182.3,11819690
291,CIPLA,1155.05,2023-10-10 05:30:00,1163.6,1150.5,2023-10,1160.1,822199
292,BPCL,170.2,2023-10-10 05:30:00,171.3,169.6,2023-10,170.03,3572978
293,BRITANNIA,4529.95,2023-10-10 05:30:00,4541.95,4503.0,2023-10,4522.2,222750
294,SBILIFE,1302.05,2023-10-10 05:30:00,1312.6,1279.8,2023-10,1285.0,1221002
295,HINDALCO,480.65,2023-10-10 05:30:00,484.8,467.0,2023-10,473.0,7863825
296,HEROMOTOCO,2976.8,2023-10-10 05:30:00,3003.1,2966.0,2023-10,2975.0,467743
297,AXISBANK,1012.25,2023-10-10 05:30:00,1014.95,996.5,2023-10,999.9,5728499
298,HDFCBANK,1524.85,2023-10-10 05:30:00,1529.0,1515.2,2023-10,1520.55,16633146
299,BAJAJ-AUTO,5037.5,2023-10-10 05:30:00,5064.0,5002.2,2023-10,5007.3,307502
300,SBIN,588.35,2023-10-11 05:30:00,597.0,587.6,2023-10,596.9,14220119
301,BAJFINANCE,8101.95,2023-10-11 05:30:00,8173.0,8095.45,2023-10,8139.8,712372
302,TITAN,3280.5,2023-10-11 05:30:00,3296.0,3264.0,2023-10,3289.7,546575
303,ITC,448.25,2023-10-11 05:30:00,449.45,444.8,2023-10,447.2,7651513
304,TCS,3609.9,2023-10-11 05:30:00,3650.0,3605.0,2023-10,3650.0,2426417
305,LT,3088.7,2023-10-11 05:30:00,3110.0,3084.4,2023-10,3090.0,2066921
306,TATACONSUM,877.49,2023-10-11 05:30:00,886.19,875.32,2023-10,884.01,1049520
307,RELIANCE,1172.53,2023-10-11 05:30:00,1174.85,1156.5,2023-10,1157.22,9814118
308,HCLTECH,1245.6,2023-10-11 05:30:00,1274.45,1241.0,2023-10,1266.0,2186131
309,JSWSTEEL,777.25,2023-10-11 05:30:00,782.55,774.55,2023-10,776.0,1841618
310,ULTRACEMCO,8343.0,2023-10-11 05:30:00,8390.0,8179.2,2023-10,8195.95,439622
311,POWERGRID,198.5,2023-10-11 05:30:00,199.15,197.35,2023-10,197.35,10031916
312,INFY,1494.4,2023-10-11 05:30:00,1518.25,1481.45,2023-10,1497.0,7220129
313,TRENT,2101.3,2023-10-11 05:30:00,2114.8,2055.0,2023-10,2058.45,729470
314,BHARTIARTL,955.6,2023-10-11 05:30:00,956.8,948.0,2023-10,948.5,5645289
315,TATAMOTORS,634.0,2023-10-11 05:30:00,637.8,632.6,2023-10,633.0,7701931
316,WIPRO,421.15,2023-10-11 05:30:00,423.95,409.0,2023-10,409.0,9546114
317,TECHM,1231.6,2023-10-11 05:30:00,1238.9,1222.0,2023-10,1230.1,1622663
318,NTPC,238.7,2023-10-11 05:30:00,239.7,236.0,2023-10,236.25,14313043
319,HINDUNILVR,2556.4,2023-10-11 05:30:00,2563.95,2516.25,2023-10,2518.35,1697398
320,APOLLOHOSP,5092.85,2023-10-11 05:30:00,5140.0,5065.0,2023-10,5072.95,336099
321,M&M,1556.3,2023-10-11 05:30:00,1559.15,1540.0,2023-10,1540.0,1536986
322,GRASIM,1972.26,2023-10-11 05:30:00,1974.55,1915.98,2023-10,1928.28,907136
323,ICICIBANK,953.1,2023-10-11 05:30:00,962.05,950.75,2023-10,954.9,12233117
324,ADANIENT,2488.6,2023-10-11 05:30:00,2538.0,2482.5,2023-10,2533.9,1627836
325,ADANIPORTS,814.85,2023-10-11 05:30:00,827.4,812.35,2023-10,827.4,3281387
326,BEL,137.75,2023-10-11 05:30:00,140.5,137.5,2023-10,139.95,10778916
327,BAJAJFINSV,1636.55,2023-10-11 05:30:00,1650.95,1633.5,2023-10,1641.4,952433
328,EICHERMOT,3486.6,2023-10-11 05:30:00,3494.1,3461.4,2023-10,3482.0,343468
329,COALINDIA,301.85,2023-10-11 05:30:00,305.0,299.45,2023-10,304.55,12321154
330,MARUTI,10412.1,2023-10-11 05:30:00,10440.0,10340.0,2023-10,10350.0,193526
331,INDUSINDBK,1421.2,2023-10-11 05:30:00,1431.9,1414.55,2023-10,1430.95,1855211
332,ASIANPAINT,3163.9,2023-10-11 05:30:00,3185.0,3152.05,2023-10,3169.0,1025317
333,TATASTEEL,124.95,2023-10-11 05:30:00,126.3,124.7,2023-10,126.0,24455932
334,HDFCLIFE,621.5,2023-10-11 05:30:00,627.0,619.0,2023-10,626.95,3102088
335,DRREDDY,1113.52,2023-10-11 05:30:00,1117.6,1102.0,2023-10,1102.0,1961240
336,SUNPHARMA,1128.75,2023-10-11 05:30:00,1134.45,1122.35,2023-10,1128.0,1456045
337,KOTAKBANK,1771.4,2023-10-11 05:30:00,1779.95,1760.05,2023-10,1760.05,3499844
338,SHRIRAMFIN,1898.6,2023-10-11 05:30:00,1920.5,1885.55,2023-10,1907.05,912283
339,NESTLEIND,2320.21,2023-10-11 05:30:00,2327.39,2293.0,2023-10,2296.81,673380
340,ONGC,183.25,2023-10-11 05:30:00,184.7,182.75,2023-10,184.4,8499601
341,CIPLA,1171.95,2023-10-11 05:30:00,1175.0,1146.5,2023-10,1151.0,1465239
342,BPCL,171.28,2023-10-11 05:30:00,172.65,170.75,2023-10,171.1,4799512
343,BRITANNIA,4554.95,2023-10-11 05:30:00,4568.95,4520.65,2023-10,4522.0,368192
344,SBILIFE,1309.35,2023-10-11 05:30:00,1310.95,1291.15,2023-10,1310.0,1374812
345,HINDALCO,483.9,2023-10-11 05:30:00,485.95,480.1,2023-10,485.65,7006735
346,HEROMOTOCO,3100.85,2023-10-11 05:30:00,3111.0,2987.55,2023-10,3000.0,1048795
347,AXISBANK,1019.1,2023-10-11 05:30:00,1025.65,1012.0,2023-10,1019.0,7396783
348,HDFCBANK,1539.6,2023-10-11 05:30:00,1542.15,1528.5,2023-10,1530.1,15666680
349,BAJAJ-AUTO,5064.4,2023-10-11 05:30:00,5095.0,5050.0,2023-10,5055.0,575680
350,SBIN,586.05,2023-10-12 05:30:00,593.0,585.0,2023-10,590.8,11983797
351,BAJFINANCE,8014.3,2023-10-12 05:30:00,8127.0,8003.0,2023-10,8125.0,764092
352,TITAN,3285.0,2023-10-12 05:30:00,3295.05,3262.6,2023-10,3292.0,429096
